x, y, v_x, v_y
1421.81, 1379.6, 457.198, 429.094
1426.38, 1383.9, 457.083, 428.889
1430.95, 1388.18, 456.969, 428.683
1435.52, 1392.47, 456.854, 428.478
1440.09, 1396.76, 456.74, 428.272
1444.66, 1401.04, 456.625, 428.067
1449.22, 1405.32, 456.511, 427.862
1453.79, 1409.6, 456.397, 427.656
1458.35, 1413.87, 456.282, 427.451
1462.92, 1418.15, 456.168, 427.246
1467.48, 1422.42, 456.054, 427.041
1472.04, 1426.69, 455.94, 426.837
1476.6, 1430.96, 455.826, 426.632
1481.16, 1435.23, 455.713, 426.427
1485.71, 1439.49, 455.599, 426.223
1490.27, 1443.75, 455.485, 426.018
1494.82, 1448.01, 455.371, 425.814
1499.38, 1452.27, 455.258, 425.609
1503.93, 1456.53, 455.144, 425.405
1508.48, 1460.78, 455.031, 425.201
1513.03, 1465.03, 454.918, 424.997
1517.58, 1469.28, 454.804, 424.793
1522.13, 1473.53, 454.691, 424.589
1526.68, 1477.78, 454.578, 424.386
1531.22, 1482.02, 454.465, 424.182
1535.77, 1486.26, 454.352, 423.978
1540.31, 1490.5, 454.239, 423.775
1544.85, 1494.74, 454.126, 423.571
1549.39, 1498.98, 454.013, 423.368
1553.93, 1503.21, 453.901, 423.165
1558.47, 1507.44, 453.788, 422.962
1563.01, 1511.67, 453.675, 422.759
1567.55, 1515.9, 453.563, 422.556
1572.08, 1520.12, 453.45, 422.353
1576.62, 1524.35, 453.338, 422.15
1581.15, 1528.57, 453.226, 421.947
1585.68, 1532.79, 453.113, 421.745
1590.21, 1537.01, 453.001, 421.542
1594.74, 1541.22, 452.889, 421.34
1599.27, 1545.44, 452.777, 421.137
1603.8, 1549.65, 452.665, 420.935
1608.33, 1553.86, 452.553, 420.733
1612.85, 1558.06, 452.441, 420.531
1617.38, 1562.27, 452.329, 420.329
1621.9, 1566.47, 452.218, 420.127
1626.42, 1570.67, 452.106, 419.925
1630.94, 1574.87, 451.994, 419.723
1635.46, 1579.07, 451.883, 419.522
1639.98, 1583.26, 451.771, 419.32
1644.5, 1587.46, 451.66, 419.119
1649.02, 1591.65, 451.549, 418.917
1653.53, 1595.84, 451.437, 418.716
1658.05, 1600.03, 451.326, 418.515
1662.56, 1604.21, 451.215, 418.314
1667.07, 1608.39, 451.104, 418.113
1671.58, 1612.58, 450.993, 417.912
1676.09, 1616.75, 450.882, 417.711
1680.6, 1620.93, 450.771, 417.51
1685.11, 1625.11, 450.661, 417.309
1689.62, 1629.28, 450.55, 417.109
1694.12, 1633.45, 450.439, 416.908
1698.63, 1637.62, 450.329, 416.708
1703.13, 1641.79, 450.218, 416.507
1707.63, 1645.95, 450.108, 416.307
1712.13, 1650.11, 449.997, 416.107
1716.63, 1654.28, 449.887, 415.907
1721.13, 1658.43, 449.777, 415.707
1725.63, 1662.59, 449.666, 415.507
1730.13, 1666.75, 449.556, 415.307
1734.62, 1670.9, 449.446, 415.107
1739.12, 1675.05, 449.336, 414.907
1743.61, 1679.2, 449.226, 414.708
1748.1, 1683.35, 449.116, 414.508
1752.59, 1687.49, 449.007, 414.309
1757.08, 1691.64, 448.897, 414.109
1761.57, 1695.78, 448.787, 413.91
1766.06, 1699.92, 448.678, 413.711
1770.55, 1704.05, 448.568, 413.512
1775.03, 1708.19, 448.459, 413.313
1779.52, 1712.32, 448.349, 413.114
1784, 1716.45, 448.24, 412.915
1788.48, 1720.58, 448.131, 412.716
1792.96, 1724.71, 448.022, 412.518
1797.44, 1728.83, 447.912, 412.319
1801.92, 1732.96, 447.803, 412.121
1806.4, 1737.08, 447.694, 411.922
1810.88, 1741.2, 447.585, 411.724
1815.35, 1745.31, 447.476, 411.526
1819.83, 1749.43, 447.368, 411.327
1824.3, 1753.54, 447.259, 411.129
1828.78, 1757.65, 447.15, 410.931
1833.25, 1761.76, 447.042, 410.733
1837.72, 1765.87, 446.933, 410.536
1842.19, 1769.98, 446.825, 410.338
1846.66, 1774.08, 446.716, 410.14
1851.12, 1778.18, 446.608, 409.943
1855.59, 1782.28, 446.499, 409.745
1860.05, 1786.38, 446.391, 409.548
